column,viewname
action,t2110
agent_id,gns_vwfm_agentadherencetotal_v
agentname,gns_vwfm_agentadherencetotal_v
assigned_group,csa_tmp_inc_evnt_rmdy2110_v3
assigned_group_change,csa_tmp_inc_evnt_rmdy2110_v4
assigned_support_company,csa_tmp_inc_evnt_rmdy2110_v3
assigned_support_company_change,csa_tmp_inc_evnt_rmdy2110_v4
assignee,csa_tmp_inc_evnt_rmdy2110_v3
assignee_change,csa_tmp_inc_evnt_rmdy2110_v4
assignee_change_date,csa_tmp_inc_evnt_rmdy2110_v5
audit_date,t2110
audit_date_aest,csa_tmp_inc_evnt_rmdy2110_v2
audit_date_local,csa_tmp_inc_evnt_rmdy2110_v2
audit_date_utc,csa_tmp_inc_evnt_rmdy2110_v3
create_date,t2110
fields_changed,t2110
form_name,t2110
gns accepted/declined by agent id,csa_inc_evnt_rmdy2110_t
gns accepted/declined by agent name,csa_inc_evnt_rmdy2110_t
gns accepted/declined by site id,csa_inc_evnt_rmdy2110_t
gns accepted/declined by site name,csa_inc_evnt_rmdy2110_t
gns accepted/declined by team id,csa_inc_evnt_rmdy2110_t
gns accepted/declined by team name,csa_inc_evnt_rmdy2110_t
guid_field,t2110
inc envt interaction sequence,csa_inc_evnt_rmdy2110_t
inc evnt accepted ts aest,csa_inc_evnt_rmdy2110_t
inc evnt accepted ts local,csa_inc_evnt_rmdy2110_t
inc evnt access seeker pending reason,csa_inc_evnt_rmdy2110_t
inc evnt assigned group,csa_inc_evnt_rmdy2110_t
inc evnt assigned group aest ts,csa_inc_evnt_rmdy2110_t
inc evnt assigned group change,csa_inc_evnt_rmdy2110_t
inc evnt assigned group local ts,csa_inc_evnt_rmdy2110_t
inc evnt assigned support company,csa_inc_evnt_rmdy2110_t
inc evnt assigned support company change,csa_inc_evnt_rmdy2110_t
inc evnt assignee,csa_inc_evnt_rmdy2110_t
inc evnt assignee change,csa_inc_evnt_rmdy2110_t
inc evnt assignee change date,csa_inc_evnt_rmdy2110_t
inc evnt end aest ts,csa_inc_evnt_rmdy2110_t
inc evnt end ts,csa_inc_evnt_rmdy2110_t
inc evnt end user engagement type change,csa_inc_evnt_rmdy2110_t
inc evnt incident status aest ts,csa_inc_evnt_rmdy2110_t
inc evnt incident status local ts,csa_inc_evnt_rmdy2110_t
inc evnt industry status change,csa_inc_evnt_rmdy2110_t
inc evnt industry sub status change,csa_inc_evnt_rmdy2110_t
inc evnt interaction milestone,csa_inc_evnt_rmdy2110_t
inc evnt interaction sequence type,csa_inc_evnt_rmdy2110_t
inc evnt kaizen l2 process,csa_inc_evnt_rmdy2110_t
inc evnt kaizen l2 process new,csa_inc_evnt_rmdy2110_t
inc evnt nbn reason code,csa_inc_evnt_rmdy2110_t
inc evnt next assigned group ts,csa_inc_evnt_rmdy2110_t
inc evnt next resolution rejection accept ts,csa_inc_evnt_rmdy2110_t
inc evnt next resolution rejection accept user,csa_inc_evnt_rmdy2110_t
inc evnt next resolution rejection accepted/declined by,csa_inc_evnt_rmdy2110_t
inc evnt next resolution rejection decline code,csa_inc_evnt_rmdy2110_t
inc evnt next resolution rejection decline comment,csa_inc_evnt_rmdy2110_t
inc evnt next resolution rejection decline reason,csa_inc_evnt_rmdy2110_t
inc evnt next resolution rejection decline ts local,csa_inc_evnt_rmdy2110_t
inc evnt next resolution rejection decline user,csa_inc_evnt_rmdy2110_t
inc evnt next status ts,csa_inc_evnt_rmdy2110_t
inc evnt number id,csa_inc_evnt_rmdy2110_t
inc evnt otd access seeker update ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd closed ts,csa_inc_evnt_rmdy2110_t
inc evnt otd closed ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd closed ts utc,csa_inc_evnt_rmdy2110_t
inc evnt otd dispatched ts,csa_inc_evnt_rmdy2110_t
inc evnt otd dispatched ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd milestone,csa_inc_evnt_rmdy2110_t
inc evnt otd pended ts,csa_inc_evnt_rmdy2110_t
inc evnt otd pended ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd resolution rejected ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd resolved ts,csa_inc_evnt_rmdy2110_t
inc evnt otd resolved ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd run max access seeker update ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd run max resolution rejected update ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd run max resolved ts aest,csa_inc_evnt_rmdy2110_t
inc evnt otd run max resolved ts local,csa_inc_evnt_rmdy2110_t
inc evnt previous assigned group,csa_inc_evnt_rmdy2110_t
inc evnt previous interaction milestone,csa_inc_evnt_rmdy2110_t
inc evnt previous interaction ts,csa_inc_evnt_rmdy2110_t
inc evnt previous interaction ts aest,csa_inc_evnt_rmdy2110_t
inc evnt primary key,csa_inc_evnt_rmdy2110_t
inc evnt reason change,csa_inc_evnt_rmdy2110_t
inc evnt rejected ts local,csa_inc_evnt_rmdy2110_t
inc evnt request id,csa_inc_evnt_rmdy2110_t
inc evnt resolution category change,csa_inc_evnt_rmdy2110_t
inc evnt resolution category tier 3,csa_inc_evnt_rmdy2110_t
inc evnt resolution category tier 3 change,csa_inc_evnt_rmdy2110_t
inc evnt resolution rejection accept reason,csa_inc_evnt_rmdy2110_t
inc evnt resolution rejection code,csa_inc_evnt_rmdy2110_t
inc evnt resolution rejection comment,csa_inc_evnt_rmdy2110_t
inc evnt resolution rejection decline code,csa_inc_evnt_rmdy2110_t
inc evnt resolution rejection decline comment,csa_inc_evnt_rmdy2110_t
inc evnt resolution rejection decline reason,csa_inc_evnt_rmdy2110_t
inc evnt resolution rejection reason,csa_inc_evnt_rmdy2110_t
inc evnt run max assigned group aest ts,csa_inc_evnt_rmdy2110_t
inc evnt run max assigned group local ts,csa_inc_evnt_rmdy2110_t
inc evnt run max status aest ts,csa_inc_evnt_rmdy2110_t
inc evnt run max status local ts,csa_inc_evnt_rmdy2110_t
inc evnt start ts,csa_inc_evnt_rmdy2110_t
inc evnt start ts aest,csa_inc_evnt_rmdy2110_t
inc evnt start ts utc,csa_inc_evnt_rmdy2110_t
inc evnt status,csa_inc_evnt_rmdy2110_t
inc evnt status change,csa_inc_evnt_rmdy2110_t
inc evnt status check seq,csa_inc_evnt_rmdy2110_t
inc evnt user x,csa_inc_evnt_rmdy2110_t
incident key,csa_inc_evnt_rmdy2110_t
incident_accepted_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_accepted_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_access_seeker_update_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_assigned_group_ts_aest,csa_tmp_inc_evnt_rmdy2110_v4
incident_assigned_group_ts_local,csa_tmp_inc_evnt_rmdy2110_v4
incident_closed_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_closed_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_closed_ts_utc,csa_tmp_inc_evnt_rmdy2110_v5
incident_dispatched_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_dispatched_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_industry_status_change,csa_tmp_inc_evnt_rmdy2110_v4
incident_pended_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_pended_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_reason_change,csa_tmp_inc_evnt_rmdy2110_v4
incident_resolution_rejected_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_resolved_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_resolved_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_status,csa_tmp_inc_evnt_rmdy2110_v5
incident_status_change,csa_tmp_inc_evnt_rmdy2110_v4
incident_status_ts_aest,csa_tmp_inc_evnt_rmdy2110_v4
