column,column_rel,formula,viewname
agent_id,,source table,gns_vwfm_agentadherencetotal_v
agentname,,source table,gns_vwfm_agentadherencetotal_v
assigned_group_change,assigned_group,"trim(regexp_replace(assigned_group, 'assigned group:|[\(\)]', ''))",csa_tmp_inc_evnt_rmdy2110_v4
assigned_group,assigned_group_position,cast(case when assigned_group_position = 0 then null else regexp_substr(log_entries '[^\n]+' case when assigned_group_position = 0 then 1 else assigned_group_position end 1) end,csa_tmp_inc_evnt_rmdy2110_v3
assigned_support_company_change,assigned_support_company,"trim(regexp_replace(assigned_support_company, 'assigned support company:|[0-9]|[\(\)]', ''))",csa_tmp_inc_evnt_rmdy2110_v4
assigned_support_company,assigned_support_company_position,cast(case when assigned_support_company_position = 0 then null else regexp_substr(log_entries '[^\n]+' case when assigned_support_company_position = 0 then 1 else assigned_support_company_position end 1) end,csa_tmp_inc_evnt_rmdy2110_v3
assignee_change_date,assignee_change,max(case when assignee_change <> '<blank>' or assignee_change is null then null else audit_date_local end) over ( partition by incident_key order by audit_date_local rows between unbounded preceding and current row ),csa_tmp_inc_evnt_rmdy2110_v5
assignee_change_date,audit_date_local,max(case when assignee_change <> '<blank>' or assignee_change is null then null else audit_date_local end) over ( partition by incident_key order by audit_date_local rows between unbounded preceding and current row ),csa_tmp_inc_evnt_rmdy2110_v5
assignee_change_date,incident_key,max(case when assignee_change <> '<blank>' or assignee_change is null then null else audit_date_local end) over ( partition by incident_key order by audit_date_local rows between unbounded preceding and current row ),csa_tmp_inc_evnt_rmdy2110_v5
assignee_change,assignee,"trim(regexp_replace(assignee, 'assignee:|[0-9]|[\(\)]', ''))",csa_tmp_inc_evnt_rmdy2110_v4
assignee,assignee_position,cast(case when assignee_position = 0 then null else regexp_substr(log_entries '[^\n]+' case when assignee_position = 0 then 1 else assignee_position end 1) end,csa_tmp_inc_evnt_rmdy2110_v3
audit_date_aest,audit_date,convert_timezone ('utc' 'australia/sydney' audit_date),csa_tmp_inc_evnt_rmdy2110_v2
audit_date_local,timezone_city,convert_timezone('utc' 'australia/' || timezone_city t1.audit_date),csa_tmp_inc_evnt_rmdy2110_v2
audit_date_utc,audit_date,audit_date,csa_tmp_inc_evnt_rmdy2110_v3
incident_accepted_ts_aest,audit_date_aest,case when incident_status = 'in progress' and incident_reason = 'accepted' then audit_date_aest else null end,csa_tmp_inc_evnt_rmdy2110_v5
incident_accepted_ts_aest,incident_reason,case when incident_status = 'in progress' and incident_reason = 'accepted' then audit_date_aest else null end,csa_tmp_inc_evnt_rmdy2110_v5
incident_accepted_ts_aest,incident_status,case when incident_status = 'in progress' and incident_reason = 'accepted' then audit_date_aest else null end,csa_tmp_inc_evnt_rmdy2110_v5
